date,location,name,organization,type of death,url
"November 24, 2013","Mosul, Iraq",Alaa Edward Butros,Freelance,Murder,https://cpj.org/data/people/alaa-edward-butros/index.php
"May 4, 2017","Qaboun, Syria",Alaa Kraym (Mohammed al-Qabouni),Qaboun Media Center,Crossfire,https://cpj.org/data/people/alaa-kraym-mohammed-al-qabouni/index.php
"May 17, 2007","Baghdad, Iraq",Alaa Uldeen Aziz,ABC News,Murder,https://cpj.org/data/people/alaa-uldeen-aziz/index.php
"September 5, 2010","Luanda, Angola",Alberto Graves Chakussanga,Radio Despertar,Murder,https://cpj.org/data/people/alberto-graves-chakussanga/index.php
"April 12, 2004","Pucallpa, Peru",Alberto Rivera Fernández,Frecuencia Oriental,Murder,https://cpj.org/data/people/alberto-rivera-fernandez/index.php
"September 3, 2010","an area outside Minsk, Belarus",Aleh Byabenin,Charter 97,Murder,https://cpj.org/data/people/aleh-byabenin/index.php
"June 5, 1992","Lima, Peru",Alejandro Pérez,Channel 2-Frequencia Latina TV,Murder,https://cpj.org/data/people/alejandro-perez/index.php
"November 23, 2009","Ampatuan, Philippines",Alejandro Reblando,Manila Bulletin,Murder,https://cpj.org/data/people/alejandro-reblando/index.php
"September 24, 2008","Villahermosa, Mexico",Alejandro Zenón Fonseca Estrada,EXA FM,Murder,https://cpj.org/data/people/alejandro-zenon-fonseca-estrada/index.php
"July 30, 2018","Kémo, Central African Republic",Aleksandr Rastorguyev,The Investigations Management Centre (TsUR),Dangerous Assignment,https://cpj.org/data/people/aleksandr-rastorguyev/index.php
"October 4, 1993","Moscow, Russia",Aleksandr Sidelnikov,Lennauchfilm Studio,Dangerous Assignment,https://cpj.org/data/people/aleksandr-sidelnikov/index.php
"October 4, 1993","Moscow, Russia",Aleksandr Smirnov,Molodyozhny Kuryer,Dangerous Assignment,https://cpj.org/data/people/aleksandr-smirnov/index.php
"May 12, 2000","Chechnya, Russia",Aleksandr Yefremov,Nashe Vremya,Crossfire,https://cpj.org/data/people/aleksandr-yefremov/index.php
"October 9, 2003","Togliatti, Russia",Aleksei Sidorov,Tolyatinskoye Obozreniye,Murder,https://cpj.org/data/people/aleksei-sidorov/index.php
"January 28, 1994","Mostar, Bosnia",Alessandro Otta,RAI-TV,Crossfire,https://cpj.org/data/people/alessandro-otta/index.php
"August 10, 2008","Tskhinvali, Georgia",Alexander Klimchuk,Caucasus Images,Crossfire,https://cpj.org/data/people/alexander-klimchuk/index.php
"September 22, 1993","Sukhumi, Georgia",Alexandra Tuttle,The Wall Street Journal,Crossfire,https://cpj.org/data/people/alexandra-tuttle/index.php
"September 14, 1994","Kamenge, Burundi",Alexis Bandyatuyaga,National Radio and Television of Burundi,Murder,https://cpj.org/data/people/alexis-bandyatuyaga/index.php
"December 13, 2000","Florencia, Colombia",Alfredo Abad López,La Voz de la Selva,Murder,https://cpj.org/data/people/alfredo-abad-lopez/index.php
"April 25, 2011","Ilopango, El Salvador",Alfredo Antonio Hurtado Núñez,Canal 33,Murder,https://cpj.org/data/people/alfredo-antonio-hurtado/index.php
"December 17, 2010","Kisar, Maluku Islands, Indonesia",Alfrets Mirulewan,Pelangi Weekly,Murder,https://cpj.org/data/people/alfrets-mirulewan/index.php
"August 11, 2012","Damascus, Syria",Ali Abbas,SANA,Murder,https://cpj.org/data/people/ali-abbas/index.php
"January 7, 1995","Birkhadem, Algeria",Ali Abboud,Radio Chaine 1,Murder,https://cpj.org/data/people/ali-abboud/index.php
"March 18, 2004","Baghdad, Iraq",Ali Abdel Aziz,Al-Arabiya,Crossfire,https://cpj.org/data/people/ali-abdel-aziz/index.php
"March 4, 2012","Galkayo, Somalia",Ali Ahmed Abdi,Freelance,Murder,https://cpj.org/data/people/ali-ahmed-abdi/index.php
"March 19, 2004","Baghdad, Iraq",Ali al-Khatib,Al-Arabiya,Crossfire,https://cpj.org/data/people/ali-al-khatib/index.php
"March 21, 1995","near Algiers, Algeria",Ali Boukerbache,Media-TV,Murder,https://cpj.org/data/people/ali-boukerbache/index.php
"March 13, 2011","an area near Benghazi, Libya",Ali Hassan al-Jaber,Al-Jazeera,Crossfire,https://cpj.org/data/people/ali-hassan-al-jaber/index.php
"April 14, 2005","Baghdad, Iraq",Ali Ibrahim Issa,Al-Hurriya,Crossfire,https://cpj.org/data/people/ali-ibrahim-issa/index.php
"May 31, 2006","Baghdad, Iraq",Ali Jaafar,Al-Iraqiya,Murder,https://cpj.org/data/people/ali-jaafar/index.php
"July 13, 2016","Qayyarah, Nineveh province, Iraq",Ali Mahmud,Al-Ghadeer TV,Crossfire,https://cpj.org/data/people/ali-mahmud/index.php
"March 9, 2014","Aleppo, Syria",Ali Mustafa,Freelance,Crossfire,https://cpj.org/data/people/ali-mustafa/index.php
